ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol,datetime,hour
2025-11-14 12:00:00+00:00,34,2,10847,92.15,92.34,91.43,91.73,1240,MRK,2025-11-14 12:00:00+00:00,12
2025-11-14 12:00:00+00:00,34,2,16009,578.0,578.0,577.51,577.51,13,TMO,2025-11-14 12:00:00+00:00,12
2025-11-14 12:00:00+00:00,34,2,9155,308.76,309.01,306.79,307.8,2962,JPM,2025-11-14 12:00:00+00:00,12
2025-11-14 12:00:00+00:00,34,2,11667,182.88,182.9,180.39,180.9,636008,NVDA,2025-11-14 12:00:00+00:00,12
2025-11-14 12:00:00+00:00,34,2,10888,500.46,501.0,498.65,500.3,27233,MSFT,2025-11-14 12:00:00+00:00,12
2025-11-14 12:00:00+00:00,34,2,12463,145.89,146.4,145.74,146.37,4577,PEP,2025-11-14 12:00:00+00:00,12
2025-11-14 12:00:00+00:00,34,2,2306,514.01,515.27,513.6,514.75,5313,BRK.B,2025-11-14 12:00:00+00:00,12
2025-11-14 12:00:00+00:00,34,2,10451,604.0,604.53,596.08,599.0,92454,META,2025-11-14 12:00:00+00:00,12
2025-11-14 12:00:00+00:00,34,2,16549,327.82,327.94,325.3,326.66,15100,UNH,2025-11-14 12:00:00+00:00,12
2025-11-14 12:00:00+00:00,34,2,54,233.39,234.41,232.79,234.01,1136,ABBV,2025-11-14 12:00:00+00:00,12
2025-11-14 12:00:00+00:00,34,2,9113,195.35,195.83,195.03,195.66,1552,JNJ,2025-11-14 12:00:00+00:00,12
2025-11-14 12:00:00+00:00,34,2,1429,336.5,336.59,331.27,331.98,31059,AVGO,2025-11-14 12:00:00+00:00,12
2025-11-14 12:00:00+00:00,34,2,17709,118.6,118.87,118.45,118.49,6551,XOM,2025-11-14 12:00:00+00:00,12
2025-11-14 13:00:00+00:00,34,2,17448,102.77,102.8,98.55,100.01,169261,WMT,2025-11-14 13:00:00+00:00,13
2025-11-14 13:00:00+00:00,34,2,9113,195.66,195.78,195.19,195.42,1204,JNJ,2025-11-14 13:00:00+00:00,13
2025-11-14 13:00:00+00:00,34,2,9155,307.75,308.65,306.88,308.17,1033,JPM,2025-11-14 13:00:00+00:00,13
2025-11-14 13:00:00+00:00,34,2,10888,500.0,500.89,497.88,498.25,27820,MSFT,2025-11-14 13:00:00+00:00,13
2025-11-14 13:00:00+00:00,34,2,16549,326.66,327.6,325.75,326.61,17489,UNH,2025-11-14 13:00:00+00:00,13
2025-11-14 13:00:00+00:00,34,2,168,245.78,246.49,245.07,246.35,227,ACN,2025-11-14 13:00:00+00:00,13
2025-11-14 13:00:00+00:00,34,2,853,233.29,233.99,232.76,233.16,82412,AMZN,2025-11-14 13:00:00+00:00,13
2025-11-14 13:00:00+00:00,34,2,1429,332.1,332.86,329.69,332.32,22619,AVGO,2025-11-14 13:00:00+00:00,13
2025-11-14 13:00:00+00:00,34,2,7569,366.48,366.58,364.5,365.0,763,HD,2025-11-14 13:00:00+00:00,13
2025-11-14 13:00:00+00:00,34,2,17709,118.71,118.72,118.33,118.58,5628,XOM,2025-11-14 13:00:00+00:00,13
2025-11-14 13:00:00+00:00,34,2,10193,555.8,556.77,554.3,556.1,530,MA,2025-11-14 13:00:00+00:00,13
2025-11-14 13:00:00+00:00,34,2,12540,149.0,149.24,148.76,149.24,825,PG,2025-11-14 13:00:00+00:00,13
2025-11-14 13:00:00+00:00,34,2,86,129.46,129.85,129.46,129.74,778,ABT,2025-11-14 13:00:00+00:00,13
2025-11-14 13:00:00+00:00,34,2,12463,146.35,146.5,146.07,146.44,3446,PEP,2025-11-14 13:00:00+00:00,13
2025-11-14 13:00:00+00:00,34,2,3572,930.97,930.98,926.14,928.5,3832,COST,2025-11-14 13:00:00+00:00,13
2025-11-14 13:00:00+00:00,34,2,16009,577.66,577.76,576.16,577.76,28,TMO,2025-11-14 13:00:00+00:00,13
2025-11-14 13:00:00+00:00,34,2,12497,25.48,25.52,25.33,25.49,26693,PFE,2025-11-14 13:00:00+00:00,13
2025-11-14 13:00:00+00:00,34,2,11667,180.88,181.75,180.6,181.3,441044,NVDA,2025-11-14 13:00:00+00:00,13
2025-11-14 13:00:00+00:00,34,2,10847,91.63,91.74,91.57,91.72,1231,MRK,2025-11-14 13:00:00+00:00,13
2025-11-14 13:00:00+00:00,34,2,16244,383.43,386.02,380.98,383.23,603269,TSLA,2025-11-14 13:00:00+00:00,13
2025-11-14 13:00:00+00:00,34,2,54,233.92,234.41,232.87,233.95,1800,ABBV,2025-11-14 13:00:00+00:00,13
2025-11-14 13:00:00+00:00,34,2,9475,71.52,71.58,71.35,71.45,3949,KO,2025-11-14 13:00:00+00:00,13
2025-11-14 13:00:00+00:00,34,2,38,271.43,271.78,270.58,271.35,49612,AAPL,2025-11-14 13:00:00+00:00,13
2025-11-14 13:00:00+00:00,34,2,16727,336.26,336.86,335.64,336.09,906,V,2025-11-14 13:00:00+00:00,13
2025-11-14 13:00:00+00:00,34,2,9928,1010.27,1012.8,1004.0,1007.63,4746,LLY,2025-11-14 13:00:00+00:00,13
2025-11-14 13:00:00+00:00,34,2,3942,156.66,156.95,156.6,156.77,939,CVX,2025-11-14 13:00:00+00:00,13
2025-11-14 13:00:00+00:00,34,2,2306,514.75,516.0,514.2,514.9,6272,BRK.B,2025-11-14 13:00:00+00:00,13
2025-11-14 13:00:00+00:00,34,2,10451,598.88,600.41,596.01,598.31,74712,META,2025-11-14 13:00:00+00:00,13
2025-11-14 13:00:00+00:00,34,2,3745,77.03,77.18,76.81,77.03,9696,CSCO,2025-11-14 13:00:00+00:00,13
2025-11-14 13:00:00+00:00,34,2,7152,271.3,272.7,270.59,272.22,128412,GOOGL,2025-11-14 13:00:00+00:00,13
2025-11-14 14:00:00+00:00,34,2,12463,146.44,146.73,143.92,143.98,287202,PEP,2025-11-14 14:00:00+00:00,14
2025-11-14 14:00:00+00:00,34,2,3942,156.91,156.97,154.81,155.42,104103,CVX,2025-11-14 14:00:00+00:00,14
2025-11-14 14:00:00+00:00,34,2,10847,91.71,93.38,91.5,93.07,566016,MRK,2025-11-14 14:00:00+00:00,14
2025-11-14 14:00:00+00:00,34,2,16549,326.6,328.17,322.5,323.21,110405,UNH,2025-11-14 14:00:00+00:00,14
2025-11-14 14:00:00+00:00,34,2,54,233.94,234.91,230.92,232.91,58971,ABBV,2025-11-14 14:00:00+00:00,14
2025-11-14 14:00:00+00:00,34,2,9113,195.5,195.75,193.55,194.6,162494,JNJ,2025-11-14 14:00:00+00:00,14
2025-11-14 14:00:00+00:00,34,2,9155,308.23,309.19,301.19,306.57,179883,JPM,2025-11-14 14:00:00+00:00,14
2025-11-14 14:00:00+00:00,34,2,168,246.02,249.25,244.06,245.57,66218,ACN,2025-11-14 14:00:00+00:00,14
2025-11-14 14:00:00+00:00,34,2,9475,71.44,71.64,70.745,70.795,309518,KO,2025-11-14 14:00:00+00:00,14
2025-11-14 14:00:00+00:00,34,2,38,271.35,273.07,269.6,273.01,2774507,AAPL,2025-11-14 14:00:00+00:00,14
2025-11-14 14:00:00+00:00,34,2,17709,118.48,118.77,116.68,117.45,292131,XOM,2025-11-14 14:00:00+00:00,14
2025-11-14 14:00:00+00:00,34,2,12540,149.2,149.44,147.84,148.035,114481,PG,2025-11-14 14:00:00+00:00,14
2025-11-14 14:00:00+00:00,34,2,86,129.75,130.95,128.81,128.96,191989,ABT,2025-11-14 14:00:00+00:00,14
2025-11-14 14:00:00+00:00,34,2,10451,598.28,604.66,595.2,604.2,1135810,META,2025-11-14 14:00:00+00:00,14
2025-11-14 14:00:00+00:00,34,2,3572,928.1,928.88,915.1,916.98,100159,COST,2025-11-14 14:00:00+00:00,14
2025-11-14 14:00:00+00:00,34,2,12497,25.48,25.77,25.14,25.22,1178298,PFE,2025-11-14 14:00:00+00:00,14
2025-11-14 14:00:00+00:00,34,2,16244,383.2,398.68,382.49,398.09,4847571,TSLA,2025-11-14 14:00:00+00:00,14
2025-11-14 14:00:00+00:00,34,2,17448,100.05,101.35,98.9,100.98,887898,WMT,2025-11-14 14:00:00+00:00,14
2025-11-14 14:00:00+00:00,34,2,1429,332.32,339.61,329.05,338.02,1164839,AVGO,2025-11-14 14:00:00+00:00,14
2025-11-14 14:00:00+00:00,34,2,11667,181.35,187.81,180.58,186.97,11014033,NVDA,2025-11-14 14:00:00+00:00,14
2025-11-14 14:00:00+00:00,34,2,10888,498.18,503.06,496.5,502.34,1143575,MSFT,2025-11-14 14:00:00+00:00,14
2025-11-14 14:00:00+00:00,34,2,2306,514.9,516.54,507.31,510.0,77252,BRK.B,2025-11-14 14:00:00+00:00,14
2025-11-14 14:00:00+00:00,34,2,3745,77.05,77.58,75.845,76.84,2463748,CSCO,2025-11-14 14:00:00+00:00,14
2025-11-14 14:00:00+00:00,34,2,16009,577.0,581.06,573.11,577.06,26966,TMO,2025-11-14 14:00:00+00:00,14
2025-11-14 14:00:00+00:00,34,2,7152,272.3,276.47,270.61,276.17,2591781,GOOGL,2025-11-14 14:00:00+00:00,14
2025-11-14 14:00:00+00:00,34,2,853,233.15,236.08,232.88,235.42,2375319,AMZN,2025-11-14 14:00:00+00:00,14
2025-11-14 14:00:00+00:00,34,2,7569,365.34,367.0,359.81,360.5,61587,HD,2025-11-14 14:00:00+00:00,14
2025-11-14 14:00:00+00:00,34,2,10193,556.6,557.47,548.88,549.46,16461,MA,2025-11-14 14:00:00+00:00,14
2025-11-14 14:00:00+00:00,34,2,16727,336.42,336.67,330.87,331.125,87447,V,2025-11-14 14:00:00+00:00,14
2025-11-14 14:00:00+00:00,34,2,9928,1006.17,1025.82,1003.0,1024.92,90320,LLY,2025-11-14 14:00:00+00:00,14
2025-11-14 15:00:00+00:00,34,2,54,233.01,233.31,230.32,232.32,84060,ABBV,2025-11-14 15:00:00+00:00,15
2025-11-14 15:00:00+00:00,34,2,9113,194.55,195.37,194.3,195.16,209863,JNJ,2025-11-14 15:00:00+00:00,15
2025-11-14 15:00:00+00:00,34,2,9155,306.66,307.1,303.31,306.32,197495,JPM,2025-11-14 15:00:00+00:00,15
2025-11-14 15:00:00+00:00,34,2,9475,70.795,71.13,70.655,70.855,223377,KO,2025-11-14 15:00:00+00:00,15
2025-11-14 15:00:00+00:00,34,2,11667,186.96,189.52,185.48,188.58,5329805,NVDA,2025-11-14 15:00:00+00:00,15
2025-11-14 15:00:00+00:00,34,2,38,273.01,274.53,272.16,274.24,1612450,AAPL,2025-11-14 15:00:00+00:00,15
2025-11-14 15:00:00+00:00,34,2,17709,117.48,118.31,117.385,118.26,308204,XOM,2025-11-14 15:00:00+00:00,15
2025-11-14 15:00:00+00:00,34,2,10888,502.42,507.45,501.7,506.91,541575,MSFT,2025-11-14 15:00:00+00:00,15
2025-11-14 15:00:00+00:00,34,2,10451,604.19,612.0,601.1,610.41,604039,META,2025-11-14 15:00:00+00:00,15
2025-11-14 15:00:00+00:00,34,2,12497,25.21,25.225,24.97,25.1,1079302,PFE,2025-11-14 15:00:00+00:00,15
2025-11-14 15:00:00+00:00,34,2,168,245.475,248.12,245.01,247.31,47050,ACN,2025-11-14 15:00:00+00:00,15
2025-11-14 15:00:00+00:00,34,2,853,235.42,238.47,234.86,237.85,1110760,AMZN,2025-11-14 15:00:00+00:00,15
2025-11-14 15:00:00+00:00,34,2,7569,360.32,364.79,360.0,363.27,79577,HD,2025-11-14 15:00:00+00:00,15
2025-11-14 15:00:00+00:00,34,2,10193,549.13,552.07,548.75,550.395,17613,MA,2025-11-14 15:00:00+00:00,15
2025-11-14 15:00:00+00:00,34,2,16727,331.03,332.165,330.23,331.49,229752,V,2025-11-14 15:00:00+00:00,15
2025-11-14 15:00:00+00:00,34,2,3942,155.44,156.25,154.93,156.25,183432,CVX,2025-11-14 15:00:00+00:00,15
2025-11-14 15:00:00+00:00,34,2,3745,76.84,77.77,76.67,77.765,1071444,CSCO,2025-11-14 15:00:00+00:00,15
2025-11-14 15:00:00+00:00,34,2,3572,916.85,922.33,916.49,920.83,58489,COST,2025-11-14 15:00:00+00:00,15
2025-11-14 15:00:00+00:00,34,2,1429,338.02,341.3,333.6,340.35,511419,AVGO,2025-11-14 15:00:00+00:00,15
2025-11-14 15:00:00+00:00,34,2,86,129.0,130.11,128.87,129.89,172410,ABT,2025-11-14 15:00:00+00:00,15
